Employee ID,Name,Department,Salary (USD),Hours Worked,Projects Completed,Performance Rating,Join Date
101,John Doe,Sales,50000,160,5,4.5,1/15/2022
102,Jane Smith,Marketing,60000,140,7,4.8,11/10/2021
103,Alice Johnson,HR,55000,150,6,4.2,3/5/2022
104,Bob Brown,Sales,52000,170,4,4,7/20/2022
105,Charlie Davis,IT,70000,130,8,4.9,9/12/2021
106,Emma Wilson,Marketing,58000,145,6,4.3,5/18/2022
107,Frank Miller,IT,72000,135,9,5,12/1/2021
108,Grace Lee,HR,53000,155,5,4.1,4/22/2022
109,Henry Taylor,Sales,51000,165,3,3.8,8/30/2022
110,Isabella Moore,Marketing,59000,140,7,4.7,2/14/2022
